RBP	Gene Symbol	Chromesome	Strand	Exon Start	Exon End	Upstream Exon Start	Upstream Exon End	Downstream Exon Start	Downstream Exon End	ΔPSI	Upstream Motif Presence	Exon Motif Presence	Downstream Motif Presence	Upstream CLIP-seq Peak Presence	Exon CLIP-seq Peak Presence	Downstream CLIP-seq Peak Presence
SFPQ	LINC00963	chr9	+	132255694	132255874	132250823	132251578	132265601	132266553	0.589	×	×	×	×	×	×
SFPQ	ZFYVE26	chr14	-	68271933	68272022	68270817	68270981	68272170	68272335	0.589	×	×	×	×	×	×
U2AF2	AHSG	chr3	+	186336079	186336280	186334231	186334316	186338374	186339107	0.588	×	×	×	√	×	√
U2AF1	AHSG	chr3	+	186336079	186336280	186334231	186334316	186338374	186339107	0.587	×	×	×	√	×	√
SUPV3L1	UBAC2	chr13	+	99966350	99966474	99890680	99890808	99992573	99992819	0.585	×	×	×	×	×	×
HNRNPK	BTBD2	chr19	-	2013545	2013717	1997342	1997462	2015295	2015543	0.584	×	×	√	√	√	√
PUS1	MAP2K7	chr19	+	7969335	7969433	7968791	7968953	7970692	7971951	0.584	×	×	√	×	×	×
PTBP1	SEC31A	chr4	-	83763337	83763494	83750152	83750211	83765538	83765662	0.579	√	×	×	√	√	√
SFPQ	FUCA2	chr6	-	143825049	143825222	143823068	143823259	143828373	143828561	0.578	×	×	×	×	×	×
IGF2BP2	HERC2P9	chr15	+	28900640	28900837	28900418	28900566	28900941	28901172	0.575	×	√	×	×	×	√
SFPQ	SCAMP5	chr15	+	75308933	75309090	75305017	75305146	75310210	75310312	0.575	×	×	×	×	×	×
XRN2	RPL10	chrX	+	153628815	153628967	153628143	153628282	153631603	153631838	0.575	×	×	×	√	×	√
DDX55	ZNF195	chr11	-	3398846	3399130	3394806	3394886	3400267	3400448	0.574	√	×	×	×	×	×
GRWD1	CIT	chr12	-	120148853	120148898	120148344	120148425	120149982	120150152	0.574	×	×	×	×	×	√
PTBP1	TPM1	chr15	+	63353911	63353987	63353234	63353472	63354413	63354476	0.573	√	×	×	√	×	×
PTBP1	EVI5	chr1	-	93128976	93129009	93101758	93101893	93131495	93131549	0.573	√	×	√	×	×	×
SFPQ	DDX11	chr12	+	31254766	31254916	31253960	31254064	31255176	31255245	0.573	×	×	×	×	×	×
TBRG4	LONRF3	chrX	+	118120887	118121043	118116783	118116906	118123370	118123635	0.573	√	×	×	×	×	×
FXR1	CAPN7	chr3	+	15287032	15287178	15283684	15283760	15288238	15288301	0.572	×	√	×	×	×	×
U2AF1	EPB41L2	chr6	-	131197813	131197915	131190798	131191266	131199243	131199390	0.571	×	×	√	×	√	√
HNRNPC	ZNF706	chr8	-	102214560	102214675	102213842	102213971	102217662	102217960	0.569	√	×	√	×	√	×
QKI	WDFY3	chr4	-	85729486	85729570	85724442	85724620	85731039	85731497	0.569	√	×	×	√	×	×
HNRNPK	PABPC1L	chr20	+	43560982	43561175	43559100	43559367	43561697	43561826	0.567	×	√	×	√	√	×
METAP2	C1orf63	chr1	-	25570944	25571093	25570040	25570715	25571640	25571792	0.567	×	×	×	×	√	√
FXR1	FLVCR1	chr1	+	213037049	213037211	213031596	213032532	213046019	213046160	0.563	×	×	×	×	×	×
RBFOX2	SORBS2	chr4	-	186605907	186606000	186599949	186599976	186611715	186611765	0.563	×	×	×	√	√	×
PUS1	C17orf62	chr17	-	80407306	80407832	80407049	80407168	80408575	80408613	0.562	×	×	×	×	×	×
HNRNPK	PIKFYVE	chr2	+	209169569	209169737	209168894	209169042	209176959	209177019	0.561	×	×	×	√	√	×
NCBP2	C1orf63	chr1	-	25570944	25571016	25570040	25570715	25571640	25571792	0.561	×	×	×	×	×	√
U2AF2	SLC39A14	chr8	+	22269610	22269719	22265863	22266009	22272292	22272415	0.561	×	×	×	√	×	√
SUPV3L1	TJP1	chr15	-	30011980	30012220	30010469	30011342	30012561	30012912	0.56	×	×	×	×	×	×
DDX55	SLC25A29	chr14	-	100761962	100762034	100759630	100759714	100765178	100765222	0.559	×	√	×	×	×	×
SFPQ	TPP2	chr13	+	103320107	103320233	103317144	103317286	103326632	103326761	0.559	×	×	×	×	×	×
HNRNPC	KIAA1217	chr10	+	24783428	24783533	24762156	24762989	24784075	24784125	0.558	×	×	√	×	×	√
LARP4	SLC2A8	chr9	+	130159654	130159817	130159420	130159565	130162185	130162285	0.558	×	×	×	×	×	×
HNRNPUL1	LUC7L3	chr17	+	48828657	48828723	48828107	48828213	48829560	48829946	0.557	×	×	×	√	×	√
RBFOX2	SORBS2	chr4	-	186605907	186605996	186599949	186599976	186611715	186611765	0.557	×	×	×	√	√	×
SFPQ	GPS1	chr17	+	80010131	80010335	80009375	80009400	80011149	80011242	0.557	×	×	×	×	×	×
FXR1	TRIM59	chr3	-	160166513	160166583	160156636	160156974	160167504	160167617	0.556	√	×	×	×	×	×
HNRNPM	SETD5	chr3	+	9510202	9510299	9506216	9506356	9512142	9512613	0.556	×	×	√	×	×	√
SFPQ	DRAM1	chr12	+	102307951	102308010	102295068	102295211	102313886	102313979	0.555	×	×	×	×	×	×
QKI	AKAP9	chr7	+	91671359	91671500	91669987	91670212	91671981	91672085	0.554	×	×	×	×	√	×
SFPQ	DGUOK	chr2	+	74166036	74166149	74154020	74154179	74185272	74185372	0.554	×	×	×	×	×	×
SUPV3L1	EVI5	chr1	-	93128275	93128422	93101758	93101893	93128976	93129009	0.554	×	×	×	×	×	×
DDX55	DMKN	chr19	-	35997027	35997087	35996840	35996888	35999106	35999142	0.552	×	×	×	×	×	×
HNRNPC	COPS7B	chr2	+	232655631	232655883	232653264	232653442	232656442	232656472	0.552	√	√	×	×	×	√
QKI	MBNL2	chr13	+	98017389	98017425	98009735	98009889	98043575	98046374	0.552	√	×	×	√	×	√
SFPQ	EZH1	chr17	-	40876322	40876442	40874812	40874933	40879652	40879781	0.549	×	×	×	×	×	×
U2AF2	EIF4A2	chr3	+	186506080	186506209	186505591	186505671	186506913	186507080	0.549	×	×	×	×	√	√
HNRNPK	FAM160B2	chr8	+	21959486	21959573	21959218	21959362	21959685	21959826	0.548	√	×	×	×	√	×
PTBP1	TPM1	chr15	+	63353911	63353987	63353234	63353472	63354413	63354476	0.548	√	×	×	√	×	×
HNRNPK	FAM160B2	chr8	+	21947271	21947365	21946694	21946809	21951950	21952029	0.547	√	√	×	√	×	×
FXR1	FHL2	chr2	-	106013103	106013154	106002817	106002997	106015426	106015518	0.546	×	×	×	×	×	×
HNRNPK	SNHG17	chr20	-	37056322	37056498	37055061	37055146	37059683	37059709	0.546	×	×	√	×	√	×
TBRG4	HOXD1	chr2	+	177054276	177054409	177053306	177054181	177054535	177055688	0.546	×	×	×	×	×	×
HNRNPM	PEG3	chr19	-	57337755	57337831	57335653	57335795	57347385	57347472	0.545	×	×	×	√	√	√
U2AF2	PUM2	chr2	-	20478343	20478433	20462953	20463221	20482707	20482992	0.544	√	×	×	√	√	√
HNRNPC	NFRKB	chr11	-	129763191	129763280	129762609	129762765	129764253	129764333	0.542	√	√	×	√	√	×
HNRNPK	PKD1	chr16	-	2155597	2155708	2155322	2155475	2155865	2156025	0.541	×	×	√	√	×	×
HNRNPK	B4GALNT4	chr11	+	381083	381158	380824	380951	381668	382116	0.541	×	×	√	×	×	√
